,xptsd,yptsd,zptsd
0,-662.5112190298323,-83.34899213367487,110.24671479546225
1,-662.5112190298323,-83.34899213367487,231.2087629215725
2,-662.5112190298323,83.34899213367487,110.24671479546225
3,-662.5112190298323,83.34899213367487,231.2087629215725
4,-567.8667591684277,-250.0469764010246,-10.71533333064798
5,-567.8667591684277,-250.0469764010246,110.24671479546225
6,-567.8667591684277,-250.0469764010246,231.2087629215725
7,-567.8667591684277,-250.0469764010246,352.1708110476827
8,-567.8667591684277,-83.34899213367487,-10.71533333064798
9,-567.8667591684277,-83.34899213367487,110.24671479546225
10,-567.8667591684277,-83.34899213367487,231.2087629215725
11,-567.8667591684277,-83.34899213367487,352.1708110476827
12,-567.8667591684277,-83.34899213367487,473.13285917379295
13,-567.8667591684277,83.34899213367487,-10.71533333064798
14,-567.8667591684277,83.34899213367487,110.24671479546225
15,-567.8667591684277,83.34899213367487,231.2087629215725
16,-567.8667591684277,83.34899213367487,352.1708110476827
17,-567.8667591684277,83.34899213367487,473.13285917379295
18,-567.8667591684277,250.04697640102472,-10.71533333064798
19,-567.8667591684277,250.04697640102472,110.24671479546225
20,-567.8667591684277,250.04697640102472,231.2087629215725
21,-567.8667591684277,250.04697640102472,352.1708110476827
22,-473.2222993070231,-416.7449606683744,-10.71533333064798
23,-473.2222993070231,-416.7449606683744,110.24671479546225
24,-473.2222993070231,-416.7449606683744,231.2087629215725
25,-473.2222993070231,-416.7449606683744,352.1708110476827
26,-473.2222993070231,-250.0469764010246,-10.71533333064798
27,-473.2222993070231,-250.0469764010246,110.24671479546225
28,-473.2222993070231,-250.0469764010246,231.2087629215725
29,-473.2222993070231,-250.0469764010246,352.1708110476827
30,-473.2222993070231,-250.0469764010246,473.13285917379295
31,-473.2222993070231,-250.0469764010246,594.0949072999031
32,-473.2222993070231,-83.34899213367487,-10.71533333064798
33,-473.2222993070231,-83.34899213367487,110.24671479546225
34,-473.2222993070231,-83.34899213367487,231.2087629215725
35,-473.2222993070231,-83.34899213367487,352.1708110476827
36,-473.2222993070231,-83.34899213367487,473.13285917379295
37,-473.2222993070231,-83.34899213367487,594.0949072999031
38,-473.2222993070231,83.34899213367487,-10.71533333064798
39,-473.2222993070231,83.34899213367487,110.24671479546225
40,-473.2222993070231,83.34899213367487,231.2087629215725
41,-473.2222993070231,83.34899213367487,352.1708110476827
42,-473.2222993070231,83.34899213367487,473.13285917379295
43,-473.2222993070231,83.34899213367487,594.0949072999031
44,-473.2222993070231,250.04697640102472,-10.71533333064798
45,-473.2222993070231,250.04697640102472,110.24671479546225
46,-473.2222993070231,250.04697640102472,231.2087629215725
47,-473.2222993070231,250.04697640102472,352.1708110476827
48,-473.2222993070231,250.04697640102472,473.13285917379295
49,-473.2222993070231,416.74496066837446,-10.71533333064798
50,-473.2222993070231,416.74496066837446,110.24671479546225
51,-473.2222993070231,416.74496066837446,231.2087629215725
52,-473.2222993070231,416.74496066837446,352.1708110476827
53,-378.57783944561845,-416.7449606683744,-10.71533333064798
54,-378.57783944561845,-416.7449606683744,110.24671479546225
55,-378.57783944561845,-416.7449606683744,231.2087629215725
56,-378.57783944561845,-416.7449606683744,352.1708110476827
57,-378.57783944561845,-416.7449606683744,473.13285917379295
58,-378.57783944561845,-250.0469764010246,-10.71533333064798
59,-378.57783944561845,-250.0469764010246,110.24671479546225
60,-378.57783944561845,-250.0469764010246,231.2087629215725
61,-378.57783944561845,-250.0469764010246,352.1708110476827
62,-378.57783944561845,-250.0469764010246,473.13285917379295
63,-378.57783944561845,-250.0469764010246,594.0949072999031
64,-378.57783944561845,-83.34899213367487,-10.71533333064798
65,-378.57783944561845,-83.34899213367487,110.24671479546225
66,-378.57783944561845,-83.34899213367487,231.2087629215725
67,-378.57783944561845,-83.34899213367487,352.1708110476827
68,-378.57783944561845,-83.34899213367487,473.13285917379295
69,-378.57783944561845,-83.34899213367487,594.0949072999031
70,-378.57783944561845,-83.34899213367487,715.0569554260135
71,-378.57783944561845,83.34899213367487,-10.71533333064798
72,-378.57783944561845,83.34899213367487,110.24671479546225
73,-378.57783944561845,83.34899213367487,231.2087629215725
74,-378.57783944561845,83.34899213367487,352.1708110476827
75,-378.57783944561845,83.34899213367487,473.13285917379295
76,-378.57783944561845,83.34899213367487,594.0949072999031
77,-378.57783944561845,83.34899213367487,715.0569554260135
78,-378.57783944561845,250.04697640102472,-10.71533333064798
79,-378.57783944561845,250.04697640102472,110.24671479546225
80,-378.57783944561845,250.04697640102472,231.2087629215725
81,-378.57783944561845,250.04697640102472,352.1708110476827
82,-378.57783944561845,250.04697640102472,473.13285917379295
83,-378.57783944561845,250.04697640102472,594.0949072999031
84,-378.57783944561845,416.74496066837446,-10.71533333064798
85,-378.57783944561845,416.74496066837446,110.24671479546225
86,-378.57783944561845,416.74496066837446,231.2087629215725
87,-378.57783944561845,416.74496066837446,352.1708110476827
88,-378.57783944561845,416.74496066837446,473.13285917379295
89,-283.93337958421387,-583.4429449357242,-10.71533333064798
90,-283.93337958421387,-583.4429449357242,110.24671479546225
91,-283.93337958421387,-583.4429449357242,231.2087629215725
92,-283.93337958421387,-583.4429449357242,352.1708110476827
93,-283.93337958421387,-416.7449606683744,-10.71533333064798
94,-283.93337958421387,-416.7449606683744,110.24671479546225
95,-283.93337958421387,-416.7449606683744,231.2087629215725
96,-283.93337958421387,-416.7449606683744,352.1708110476827
97,-283.93337958421387,-416.7449606683744,473.13285917379295
98,-283.93337958421387,-416.7449606683744,594.0949072999031
99,-283.93337958421387,-250.0469764010246,-10.71533333064798
100,-283.93337958421387,-250.0469764010246,110.24671479546225
101,-283.93337958421387,-250.0469764010246,231.2087629215725
102,-283.93337958421387,-250.0469764010246,352.1708110476827
103,-283.93337958421387,-250.0469764010246,473.13285917379295
104,-283.93337958421387,-250.0469764010246,594.0949072999031
105,-283.93337958421387,-250.0469764010246,715.0569554260135
106,-283.93337958421387,-83.34899213367487,-10.71533333064798
107,-283.93337958421387,-83.34899213367487,110.24671479546225
108,-283.93337958421387,-83.34899213367487,231.2087629215725
109,-283.93337958421387,-83.34899213367487,352.1708110476827
110,-283.93337958421387,-83.34899213367487,473.13285917379295
111,-283.93337958421387,-83.34899213367487,594.0949072999031
112,-283.93337958421387,-83.34899213367487,715.0569554260135
113,-283.93337958421387,83.34899213367487,-10.71533333064798
114,-283.93337958421387,83.34899213367487,110.24671479546225
115,-283.93337958421387,83.34899213367487,231.2087629215725
116,-283.93337958421387,83.34899213367487,352.1708110476827
117,-283.93337958421387,83.34899213367487,473.13285917379295
118,-283.93337958421387,83.34899213367487,594.0949072999031
119,-283.93337958421387,83.34899213367487,715.0569554260135
120,-283.93337958421387,250.04697640102472,-10.71533333064798
121,-283.93337958421387,250.04697640102472,110.24671479546225
122,-283.93337958421387,250.04697640102472,231.2087629215725
