,xpts,ypts,zpts
0,-851.8001387526416,-750.1409292030739,-10.71533333064798
1,-851.8001387526416,-750.1409292030739,110.24671479546225
2,-851.8001387526416,-750.1409292030739,231.2087629215725
3,-851.8001387526416,-750.1409292030739,352.1708110476827
4,-851.8001387526416,-750.1409292030739,473.13285917379295
5,-851.8001387526416,-750.1409292030739,594.0949072999031
6,-851.8001387526416,-750.1409292030739,715.0569554260135
7,-851.8001387526416,-750.1409292030739,836.0190035521236
8,-851.8001387526416,-750.1409292030739,956.9810516782338
9,-851.8001387526416,-750.1409292030739,1077.943099804344
10,-851.8001387526416,-583.4429449357242,-10.71533333064798
11,-851.8001387526416,-583.4429449357242,110.24671479546225
12,-851.8001387526416,-583.4429449357242,231.2087629215725
13,-851.8001387526416,-583.4429449357242,352.1708110476827
14,-851.8001387526416,-583.4429449357242,473.13285917379295
15,-851.8001387526416,-583.4429449357242,594.0949072999031
16,-851.8001387526416,-583.4429449357242,715.0569554260135
17,-851.8001387526416,-583.4429449357242,836.0190035521236
18,-851.8001387526416,-583.4429449357242,956.9810516782338
19,-851.8001387526416,-583.4429449357242,1077.943099804344
20,-851.8001387526416,-416.7449606683744,-10.71533333064798
21,-851.8001387526416,-416.7449606683744,110.24671479546225
22,-851.8001387526416,-416.7449606683744,231.2087629215725
23,-851.8001387526416,-416.7449606683744,352.1708110476827
24,-851.8001387526416,-416.7449606683744,473.13285917379295
25,-851.8001387526416,-416.7449606683744,594.0949072999031
26,-851.8001387526416,-416.7449606683744,715.0569554260135
27,-851.8001387526416,-416.7449606683744,836.0190035521236
28,-851.8001387526416,-416.7449606683744,956.9810516782338
29,-851.8001387526416,-416.7449606683744,1077.943099804344
30,-851.8001387526416,-250.0469764010246,-10.71533333064798
31,-851.8001387526416,-250.0469764010246,110.24671479546225
32,-851.8001387526416,-250.0469764010246,231.2087629215725
33,-851.8001387526416,-250.0469764010246,352.1708110476827
34,-851.8001387526416,-250.0469764010246,473.13285917379295
35,-851.8001387526416,-250.0469764010246,594.0949072999031
36,-851.8001387526416,-250.0469764010246,715.0569554260135
37,-851.8001387526416,-250.0469764010246,836.0190035521236
38,-851.8001387526416,-250.0469764010246,956.9810516782338
39,-851.8001387526416,-250.0469764010246,1077.943099804344
40,-851.8001387526416,-83.34899213367487,-10.71533333064798
41,-851.8001387526416,-83.34899213367487,110.24671479546225
42,-851.8001387526416,-83.34899213367487,231.2087629215725
43,-851.8001387526416,-83.34899213367487,352.1708110476827
44,-851.8001387526416,-83.34899213367487,473.13285917379295
45,-851.8001387526416,-83.34899213367487,594.0949072999031
46,-851.8001387526416,-83.34899213367487,715.0569554260135
47,-851.8001387526416,-83.34899213367487,836.0190035521236
48,-851.8001387526416,-83.34899213367487,956.9810516782338
49,-851.8001387526416,-83.34899213367487,1077.943099804344
50,-851.8001387526416,83.34899213367487,-10.71533333064798
51,-851.8001387526416,83.34899213367487,110.24671479546225
